,Unnamed: 0,Symbol,Name,Last,YTD %Change,1-Month %Change,3-Month %Change,52-Week %Change,52-Week High,52-Week Low,Change,% Change,Assets Under Management,Time,Risk,Size,Percentile,Volatility
26,26,TDB2297.CF,TD Fixed Income Pool - D Series,9.54,,-0.0215,,,9.9997,9.54,-0.05,-0.005213764,"12,058 M",10/7/2022,low,large,None,0.048186583
135,135,PHN255.CF,PH&N Short Term Bond & Mortgage Series O - NL,9.3863,-0.0462,-0.0075,-0.0057,-0.049,9.857,9.3244,-0.014,-0.001489314,"7,464 M",10/7/2022,low,small,10%,0.057118957
136,136,RBF8255.CF,PH&N Short Term Bond & Mortgage Series O - NL,9.3863,-0.0462,-0.0075,-0.0057,-0.049,9.857,9.3244,-0.014,-0.001489314,"7,464 M",10/7/2022,low,small,10%,0.057118957
190,190,RBF138.CF,RBC Canadian Short-Term Income Fund Series O - N,9.9063,-0.0514,-0.0078,-0.0062,-0.0553,10.4698,9.8568,-0.014,-0.001411248,"6,259 M",10/7/2022,low,small,10%,0.062190569
120,120,IGI156.CF,Iprofile Fixed Income Private Pool Series I - NL,10.7076,-0.0926,-0.0167,-0.0132,-0.0844,11.8149,10.7046,-0.0242,-0.002254981,"7,805 M",10/7/2022,low,medium,30%,0.103721764
87,87,CIG90944.CF,CI Global Income & Growth Fund Series Pp,9.0483,,-0.0154,-0.0097,,9.8355,8.8774,0.0126,0.001371847,"8,802 M",10/7/2022,low to medium,medium,None,0.107925744
25,25,TDB2041.CF,TD Fixed Income Pool Investor Series,9.02,,-0.0213,-0.0181,,9.9633,8.9906,-0.04,-0.004415011,"12,058 M",10/7/2022,low,large,None,0.108190777
88,88,CIG4944.CF,CI Global Income & Growth Fund Series Y,9.0078,,-0.0162,-0.0123,,9.8414,8.8657,0.0124,0.00135608,"8,802 M",10/7/2022,low to medium,medium,None,0.110053352
89,89,CIG1944.CF,CI Global Income & Growth Fund Series Z,8.9629,,-0.0171,-0.0151,,9.8473,8.8521,0.0119,0.001307822,"8,802 M",10/7/2022,low to medium,medium,None,0.1124253
90,90,CIG2944.CF,CI Global Income & Growth Fund Series Z,8.9629,,-0.0171,-0.0151,,9.8473,8.8521,0.0119,0.001307822,"8,802 M",10/7/2022,low to medium,medium,None,0.1124253
91,91,CIG3944.CF,CI Global Income & Growth Fund Series Z,8.9629,,-0.0171,-0.0151,,9.8473,8.8521,0.0119,0.001307822,"8,802 M",10/7/2022,low to medium,medium,None,0.1124253
132,132,TDB399.CF,TD Monthly Income Fund - Ft8 Series - NL,11.4,-0.09,-0.0354,-0.0261,-0.0511,12.847,11.4,-0.13,-0.011274935,"7,695 M",10/7/2022,low to medium,medium,30%,0.126929825
126,126,TDB452.CF,TD Monthly Income Fund - F Series - NL,15.76,-0.0899,-0.0353,-0.0257,-0.0505,17.7608,15.76,-0.18,-0.011292346,"7,695 M",10/7/2022,low to medium,medium,30%,0.126954315
121,121,TDB3477.CF,TD Monthly Income Fund - Ft5 Series - NL,14.24,-0.0903,-0.0352,-0.0259,-0.0509,16.0559,14.24,-0.16,-0.011111111,"7,695 M",10/7/2022,low to medium,medium,30%,0.127521067
134,134,TDB3085.CF,TD Monthly Income Fund - D Series - NL,11.97,-0.0915,-0.0354,-0.0261,-0.0536,13.5106,11.97,-0.14,-0.011560694,"7,695 M",10/7/2022,low to medium,medium,30%,0.128705096
133,133,TDB622.CF,TD Monthly Income Fund - Investor Series - NL,23.13,-0.0943,-0.0357,-0.0274,-0.0566,26.1727,23.13,-0.26,-0.011115861,"7,695 M",10/7/2022,low to medium,medium,30%,0.131547773
122,122,TDB113.CF,TD Monthly Income Fund - Advisor Series - Lsc2,21.8235,-0.0942,-0.0359,-0.0274,-0.0568,24.6962,21.8235,-0.2527,-0.011446716,"7,695 M",10/7/2022,low to medium,medium,30%,0.131633331
123,123,TDB821.CF,TD Monthly Income Fund - Advisor Series - ISC,21.8235,-0.0942,-0.0359,-0.0274,-0.0568,24.6962,21.8235,-0.2527,-0.011446716,"7,695 M",10/7/2022,low to medium,medium,30%,0.131633331
124,124,TDB831.CF,TD Monthly Income Fund - Advisor Series - DSC,21.8235,-0.0942,-0.0359,-0.0274,-0.0568,24.6962,21.8235,-0.2527,-0.011446716,"7,695 M",10/7/2022,low to medium,medium,30%,0.131633331
125,125,TDB841.CF,TD Monthly Income Fund - Advisor Series - Lsc,21.8235,-0.0942,-0.0359,-0.0274,-0.0568,24.6962,21.8235,-0.2527,-0.011446716,"7,695 M",10/7/2022,low to medium,medium,30%,0.131633331
127,127,TDB398.CF,TD Monthly Income Fund - H8 Series - NL,10.68,-0.0944,-0.0364,-0.0273,-0.0573,12.0891,10.68,-0.12,-0.011111111,"7,695 M",10/7/2022,low to medium,medium,30%,0.131938202
128,128,TDB297.CF,TD Monthly Income Fund - T8 Series  - Lsc2,10.6549,-0.0944,-0.036,-0.0274,-0.0572,12.0608,10.6549,-0.1233,-0.011439758,"7,695 M",10/7/2022,low to medium,medium,30%,0.131948681
129,129,TDB395.CF,TD Monthly Income Fund - T8 Series - ISC,10.6549,-0.0944,-0.036,-0.0274,-0.0572,12.0608,10.6549,-0.1233,-0.011439758,"7,695 M",10/7/2022,low to medium,medium,30%,0.131948681
130,130,TDB396.CF,TD Monthly Income Fund - T8 Series - DSC,10.6549,-0.0944,-0.036,-0.0274,-0.0572,12.0608,10.6549,-0.1233,-0.011439758,"7,695 M",10/7/2022,low to medium,medium,30%,0.131948681
131,131,TDB397.CF,TD Monthly Income Fund - T8 Series - Lsc,10.6549,-0.0944,-0.036,-0.0274,-0.0572,12.0608,10.6549,-0.1233,-0.011439758,"7,695 M",10/7/2022,low to medium,medium,30%,0.131948681
188,188,PHN9060.CF,RBC Canadian Dividend Fund Series O - NL,87.7542,-0.0566,-0.0368,-0.024,-0.0024,99.9661,87.0055,-1.3809,-0.015492214,"6,274 M",10/7/2022,medium,small,15%,0.148962997
189,189,RBF167.CF,RBC Canadian Dividend Fund Series O - NL,87.7542,-0.0566,-0.0368,-0.024,-0.0024,99.9661,87.0055,-1.3809,-0.015492214,"6,274 M",10/7/2022,medium,small,15%,0.148962997
77,77,TDB2594.CF,TD Tactical Monthly Income Fund-Prem F NL,12.62,-0.1203,-0.0284,-0.0096,-0.066,14.3944,12.5149,-0.17,-0.013291634,"8,898 M",10/7/2022,low to medium,medium,30%,0.150180984
69,69,TDB2585.CF,TD Tactical Monthly Income Fund F Series - NL,13.53,-0.1207,-0.0284,-0.0091,-0.0667,15.4461,13.4235,-0.18,-0.013129103,"8,898 M",10/7/2022,low to medium,medium,30%,0.150676053
