Symbol,Name,Last,Change,% Change,Assets Under Management,Time
CLGO002A.CF,GWL Agg Portfolio 75/75 (Ps1),20.9357,-0.0794,-0.003778236,"114,256 M",10/6/2022
GWL3005.CF,GWL Agg Portfolio 75/75 (Ps1),21.4713,0.1389,0.006511222,"114,256 M",7/28/2022
RBF460.CF,RBC Select Balanced Portfolio Series A - NL,27.8255,-0.4498,-0.015907877,"30,841 M",10/7/2022
RBF517.CF,RBC Select Balanced Portfolio Series A U$ - NL,20.2551,-0.3095,-0.015050135,"30,841 M",10/7/2022
RBF516.CF,RBC Select Conservative Portfolio Series A U$ -,15.3369,-0.1616,-0.010426815,"25,053 M",10/7/2022
RBF461.CF,RBC Select Conservative Portfolio Series A - NL,21.069,-0.2406,-0.011290686,"25,053 M",10/7/2022
PHN9071.CF,RBC Bond Fund Series O - NL,5.9534,-0.0215,-0.003598387,"21,061 M",10/7/2022
RBF137.CF,RBC Bond Fund Series O - NL,5.9534,-0.0215,-0.003598387,"21,061 M",10/7/2022
RBF658.CF,RBC Select Balanced Portfolio Series F - NL,29.4833,-0.4757,-0.015878367,"13,757 M",10/7/2022
RBF5517.CF,RBC Select Balanced Portfolio Series F U$ - NL,21.4619,-0.3273,-0.015021203,"13,757 M",10/7/2022
TDB2923.CF,TD Canadian Core Plus Bond Fd-Premium F NL,9.12,-0.03,-0.003278689,"13,235 M",10/7/2022
TDB3040.CF,TD Canadian Core Plus Bond Fund - D Series - NL,8.44,-0.03,-0.003541913,"13,235 M",10/7/2022
TDB2003.CF,TD Canadian Core Plus Bond Fund - Premium Ser -,9.23,-0.03,-0.003239741,"13,235 M",10/7/2022
TDB694.CF,TD Canadian Core Plus Bond Fund - Investor Ser -,10.08,-0.04,-0.003952569,"13,235 M",10/7/2022
TDB695.CF,TD Canadian Core Plus Bond Fund Advisor - ISC,10.2571,-0.0364,-0.003536212,"13,235 M",10/7/2022
TDB696.CF,TD Canadian Core Plus Bond Fund Advisor - DSC,10.2571,-0.0364,-0.003536212,"13,235 M",10/7/2022
TDB697.CF,TD Canadian Core Plus Bond Fund Advisor - Lsc,10.2571,-0.0364,-0.003536212,"13,235 M",10/7/2022
TDB698.CF,TD Canadian Core Plus Bond Fund Advisor - Lsc2,10.2571,-0.0364,-0.003536212,"13,235 M",10/7/2022
TDB699.CF,TD Canadian Core Plus Bond Fund  F Series - NL,10.32,-0.03,-0.002898551,"13,235 M",10/7/2022
PHN9079.CF,RBC Global Corporate Bond Fund Series O,8.0804,-0.0418,-0.005146389,"12,326 M",10/7/2022
RBF194.CF,RBC Global Corporate Bond Fund Series O - NL,8.0804,-0.0418,-0.005146389,"12,326 M",10/7/2022
RBF515.CF,RBC Select Very Conservative Portfolio Ser A U$-,8.5885,-0.0661,-0.007637557,"12,290 M",10/7/2022
RBF209.CF,RBC Select Very Conservative Portfolio Series A-,11.7984,-0.1013,-0.00851282,"12,290 M",10/7/2022
TDB3474.CF,TD Fixed Income Pool F Series - NL,9.07,-0.04,-0.004390779,"12,058 M",10/7/2022
TDB3610.CF,TD Fixed Income Pool - Advisor Series,8.5399,-0.0394,-0.004592449,"12,058 M",10/7/2022
TDB2041.CF,TD Fixed Income Pool Investor Series,9.02,-0.04,-0.004415011,"12,058 M",10/7/2022
TDB2297.CF,TD Fixed Income Pool - D Series,9.54,-0.05,-0.005213764,"12,058 M",10/7/2022
TDB162.CF,TD Canadian Bond Fund - Investor Series - NL,11.95,-0.04,-0.003336113,"11,313 M",10/7/2022
