Symbol,Name,Last,"YTD %Change","1-Month %Change","3-Month %Change","52-Week %Change","52-Week High","52-Week Low"
MXM813.CF,"Maxam Diversified Strategies Fund Class  X",25.6609,-0.2326,-0.045,-0.0117,-0.1008,33.437,25.6609
CLGO002A.CF,"GWL Agg Portfolio 75/75 (Ps1)",20.8021,-0.1365,-0.0075,-0.0163,-0.1155,24.1835,20.2769
GWL3005.CF,"GWL Agg Portfolio 75/75 (Ps1)",21.4713,-0.1099,0.0284,-0.0444,-0.0712,24.1835,20.3117
RBF460.CF,"RBC Select Balanced Portfolio Series A - NL",27.8916,-0.1619,0,-0.0306,-0.1405,33.4822,27.4879
RBF517.CF,"RBC Select Balanced Portfolio Series A U$ - NL",20.3395,-0.2271,-0.0086,-0.0869,-0.2247,26.5896,19.8256
RBF516.CF,"RBC Select Conservative Portfolio Series A U$ -",15.3631,-0.2091,-0.0158,-0.0903,-0.2107,19.6386,15.041
RBF461.CF,"RBC Select Conservative Portfolio Series A - NL",21.0674,-0.1423,-0.0072,-0.0342,-0.1249,24.6469,20.8597
PHN9071.CF,"RBC Bond Fund Series O - NL",5.8242,-0.1562,-0.0436,-0.0552,-0.1367,6.9127,5.7982
RBF137.CF,"RBC Bond Fund Series O - NL",5.8242,-0.1562,-0.0436,-0.0552,-0.1367,6.9127,5.7982
TDB2003.CF,"TD Canadian Core Plus Bond Fund - Premium Ser -",9.03,-0.1585,-0.0426,-0.057,-0.1432,10.7602,9
TDB694.CF,"TD Canadian Core Plus Bond Fund - Investor Ser -",9.86,-0.16,-0.0429,-0.0581,-0.1454,11.7678,9.83
TDB695.CF,"TD Canadian Core Plus Bond Fund Advisor - ISC",10.0293,-0.1605,-0.0431,-0.0582,-0.1454,11.9745,10.0008
TDB696.CF,"TD Canadian Core Plus Bond Fund Advisor - DSC",10.0293,-0.1605,-0.0431,-0.0582,-0.1454,11.9745,10.0008
TDB697.CF,"TD Canadian Core Plus Bond Fund Advisor - Lsc",10.0293,-0.1605,-0.0431,-0.0582,-0.1454,11.9745,10.0008
TDB698.CF,"TD Canadian Core Plus Bond Fund Advisor - Lsc2",10.0293,-0.1605,-0.0431,-0.0582,-0.1454,11.9745,10.0008
TDB699.CF,"TD Canadian Core Plus Bond Fund  F Series - NL",10.09,-0.1558,-0.0432,-0.0567,-0.1393,11.9713,10.06
TDB2923.CF,"TD Canadian Core Plus Bond Fd-Premium F NL",8.92,-0.1546,-0.0417,-0.0555,-0.138,10.5707,8.89
TDB3040.CF,"TD Canadian Core Plus Bond Fund - D Series - NL",8.25,-0.1577,-0.043,-0.0565,-0.1421,9.8147,8.23
RBF5517.CF,"RBC Select Balanced Portfolio Series F U$ - NL",21.561,-0.2209,-0.0078,-0.0846,-0.2169,27.9209,21.0108
RBF658.CF,"RBC Select Balanced Portfolio Series F - NL",29.5667,-0.1551,0.0008,-0.0281,-0.1319,35.2079,29.1296
TDB2041.CF,"TD Fixed Income Pool Investor Series",8.8,,-0.0441,-0.0654,,9.9633,8.78
TDB2297.CF,"TD Fixed Income Pool - D Series",9.31,,-0.0441,,,9.9997,9.3
TDB3474.CF,"TD Fixed Income Pool F Series - NL",8.85,-0.1596,-0.0434,-0.0645,-0.144,10.5533,8.83
TDB3610.CF,"TD Fixed Income Pool - Advisor Series",8.3318,-0.1645,-0.044,-0.066,-0.1495,9.9973,8.3153
RBF209.CF,"RBC Select Very Conservative Portfolio Series A-",11.7247,-0.1399,-0.0165,-0.0438,-0.1274,13.6454,11.643
RBF515.CF,"RBC Select Very Conservative Portfolio Ser A U$-",8.5501,-0.2069,-0.025,-0.0994,-0.213,10.9286,8.4184
PHN9079.CF,"RBC Global Corporate Bond Fund Series O",7.9302,-0.1831,-0.0347,-0.0773,-0.1773,9.7672,7.9061
RBF194.CF,"RBC Global Corporate Bond Fund Series O - NL",7.9302,-0.1831,-0.0347,-0.0773,-0.1773,9.7672,7.9061
TDB2921.CF,"TD Canadian Bond Fund - Premium F Ser NL",8.88,-0.1568,-0.0443,-0.0584,-0.1402,10.5409,8.85
TDB3081.CF,"TD Canadian Bond Fund - D Series - NL",8.54,-0.1579,-0.0433,-0.058,-0.1425,10.1612,8.51
TDB2002.CF,"TD Canadian Bond Fund - Premium Series - NL",8.57,-0.1596,-0.0441,-0.0587,-0.145,10.217,8.54
TDB162.CF,"TD Canadian Bond Fund - Investor Series - NL",11.69,-0.1602,-0.0441,-0.0594,-0.1459,13.9496,11.65
TDB107.CF,"TD Canadian Bond Fund - Advisor Series - Lsc2",10.2065,-0.1603,-0.0441,-0.059,-0.1455,12.1787,10.1684
TDB306.CF,"TD Canadian Bond Fund - Advisor Series - FE",10.2065,-0.1603,-0.0441,-0.059,-0.1455,12.1787,10.1684
TDB336.CF,"TD Canadian Bond Fund - Advisor Series - DSC",10.2065,-0.1603,-0.0441,-0.059,-0.1455,12.1787,10.1684
TDB366.CF,"TD Canadian Bond Fund - Advisor Series - LL",10.2065,-0.1603,-0.0441,-0.059,-0.1455,12.1787,10.1684
TDB406.CF,"TD Canadian Bond Fund Series F - NL",10.44,-0.1564,-0.0433,-0.057,-0.1406,12.3955,10.4
FID933.CF,"Fidelity Canadian Bond Fund Series O",12.7424,-0.1175,-0.0309,0.006,-0.1038,14.4565,12.3377
BNS385.CF,"Scotia Canadian Dividend Fund Series A - NL",81.3065,-0.0554,0.0056,-0.0184,-0.0252,90.9679,77.7526
PHN9072.CF,"RBC Global Bond Fund Series O - NL",9.3674,-0.1491,-0.026,-0.0706,-0.145,11.1307,9.3378
RBF193.CF,"RBC Global Bond Fund Series O - NL",9.3674,-0.1491,-0.026,-0.0706,-0.145,11.1307,9.3378
RBF657.CF,"RBC Select Conservative Portfolio Series F - NL",21.5007,-0.1357,-0.0064,-0.0319,-0.1165,24.9598,21.2867
RBF5516.CF,"RBC Select Conservative Portfolio Series F U$ -",15.679,-0.2031,-0.015,-0.0881,-0.2031,19.8623,15.3465
RBF518.CF,"RBC Select Growth Portfolio Series A U$ - NL",23.0962,-0.2297,-0.0001,-0.0808,-0.2252,30.3016,22.4212
RBF459.CF,"RBC Select Growth Portfolio Series A - NL",31.6718,-0.1647,0.0087,-0.0241,-0.141,38.2262,31.0541
TDB3483.CF,"TD Dividend Growth Fund - Ft5 Series - NL",16.12,-0.0259,0.0217,0.0014,-0.011,17.935,15.39
TDB972.CF,"TD Dividend Growth Fund - Investor Series - NL",104.64,-0.0347,0.0208,-0.0017,-0.0221,117.1775,99.96
TDB121.CF,"TD Dividend Growth Fund - Advisor Series - Lsc2",38.0012,-0.0347,0.0209,-0.0017,-0.0222,42.5542,36.3025
TDB756.CF,"TD Dividend Growth Fund - Advisor Series - ISC",38.0012,-0.0347,0.0209,-0.0017,-0.0222,42.5542,36.3025
TDB776.CF,"TD Dividend Growth Fund - Advisor Series - DSC",38.0012,-0.0347,0.0209,-0.0017,-0.0222,42.5542,36.3025
TDB796.CF,"TD Dividend Growth Fund - Advisor Series - Lsc",38.0012,-0.0347,0.0209,-0.0017,-0.0222,42.5542,36.3025
TDB856.CF,"TD Dividend Growth Fund - F Series - NL",39.65,-0.0254,0.022,0.0015,-0.0106,44.1031,37.86
TDB298.CF,"TD Dividend Growth Fund H8 Series - NL",9.87,-0.0349,0.021,-0.0014,-0.0222,11.0469,9.42
TDB097.CF,"TD Dividend Growth Fund T8 Series - FE",9.7565,-0.035,0.0208,-0.0018,-0.0227,10.9296,9.3203
TDB098.CF,"TD Dividend Growth Fund T8 Series - DSC",9.7565,-0.035,0.0208,-0.0018,-0.0227,10.9296,9.3203
TDB099.CF,"TD Dividend Growth Fund T8 Series - Lsc",9.7565,-0.035,0.0208,-0.0018,-0.0227,10.9296,9.3203
TDB100.CF,"TD Dividend Growth Fund T8 Series - Lsc2",9.7565,-0.035,0.0208,-0.0018,-0.0227,10.9296,9.3203
TDB299.CF,"TD Dividend Growth Fund Ft8 Series - NL",10.99,-0.0262,0.0214,0.0007,-0.0115,12.233,10.5
TDB3088.CF,"TD Dividend Growth Fund - D Series - NL",15.02,-0.027,0.0218,0.0015,-0.0126,16.7158,14.34
TDB2926.CF,"TD Dividend Growth Fund- Premium Series NL",16.18,-0.0345,0.021,-0.0016,-0.022,18.1137,15.46
TDB2927.CF,"TD Dividend Growth Fund - Premium F Ser NL",16.31,-0.0255,0.0215,0.0009,-0.0105,18.149,15.58
PHN115.CF,"PH&N Bond Fund Series O - NL",8.7639,-0.1438,-0.0415,-0.0537,-0.1248,10.2557,8.7266
RBF8115.CF,"PH&N Bond Fund Series O - NL",8.7639,-0.1438,-0.0415,-0.0537,-0.1248,10.2557,8.7266
PHN716.CF,"PH&N Core Plus Bond Fund Series O - NL",8.4334,-0.1466,-0.0418,-0.0535,-0.128,9.8971,8.4016
RBF8716.CF,"PH&N Core Plus Bond Fund Series O - NL",8.4334,-0.1466,-0.0418,-0.0535,-0.128,9.8971,8.4016
TDB2443.CF,"TD Comfort Balanced Portfolio F - NL",10.3,-0.141,-0.0106,-0.0338,-0.112,12.04,10.2
TDB3539.CF,"TD Comfort Balanced Portfolio D Series - NL",10.69,-0.1427,-0.0102,-0.0335,-0.1152,12.52,10.58
TDB886.CF,"TD Comfort Balanced Portfolio Inv - NL",16.36,-0.1475,-0.0109,-0.0354,-0.1206,19.27,16.19
TDB3481.CF,"TD Tactical Monthly Income Fund - Ft5 Series - N",14.57,-0.1134,-0.0006,-0.0107,-0.0806,16.5001,14.28
TDB2559.CF,"TD Tactical Monthly Income Fund Series K",12.92,-0.1223,-0.0017,-0.0144,-0.0911,14.7679,12.67
TDB3043.CF,"TD Tactical Monthly Income Fund - D Series - NL",11.08,-0.1146,-0.0004,-0.0113,-0.0827,12.5629,10.86
TDB2593.CF,"TD Tactical Monthly Income Fund -Premium NL",11.71,-0.1222,-0.0019,-0.0142,-0.0909,13.3893,11.48
TDB2594.CF,"TD Tactical Monthly Income Fund-Prem F NL",12.73,-0.1126,0,-0.011,-0.0796,14.3944,12.48
TDB2580.CF,"TD Tactical Monthly Income Fund - Investor Ser -",12.54,-0.1221,-0.0016,-0.0142,-0.0921,14.3429,12.29
TDB2581.CF,"TD Tactical Monthly Income Fund Adv-ISc",12.5527,-0.1224,-0.0016,-0.0143,-0.0918,14.3556,12.309
TDB2582.CF,"TD Tactical Monthly Income Fund Adv-DSC",12.5527,-0.1224,-0.0016,-0.0143,-0.0918,14.3556,12.309
TDB2583.CF,"TD Tactical Monthly Income Fund Adv - Lsc",12.5527,-0.1224,-0.0016,-0.0143,-0.0918,14.3556,12.309
TDB2584.CF,"TD Tactical Monthly Income Fund Adv- Lsc2",12.5527,-0.1224,-0.0016,-0.0143,-0.0918,14.3556,12.309
TDB2585.CF,"TD Tactical Monthly Income Fund F Series - NL",13.64,-0.1136,-0.0005,-0.011,-0.0806,15.4461,13.37
TDB2586.CF,"TD Tactical Monthly Income Fund H8 Series - NL",13.05,-0.1221,-0.001,-0.0139,-0.0921,14.9204,12.79
TDB2587.CF,"TD Tactical Monthly Income Fund T8 Series - ISC",13.0348,-0.1224,-0.0016,-0.0142,-0.092,14.9072,12.7819
TDB2588.CF,"TD Tactical Monthly Income Fund T8 Series - DSC",13.0348,-0.1224,-0.0016,-0.0142,-0.092,14.9072,12.7819
TDB2589.CF,"TD Tactical Monthly Income Fund T8 Series - Lsc",13.0348,-0.1224,-0.0016,-0.0142,-0.092,14.9072,12.7819
TDB2590.CF,"TD Tactical Monthly Income Fund T8 Series - Lsc2",13.0348,-0.1224,-0.0016,-0.0142,-0.092,14.9072,12.7819
TDB2591.CF,"TD Tactical Monthly Income Fund Ft8 Series - NL",14.75,-0.1139,-0.0007,-0.0111,-0.0806,16.7028,14.46
