Symbol,Name,Last,YTD %Change,1-Month %Change,3-Month %Change,52-Week %Change,52-Week High,52-Week Low
MXM813.CF,Maxam Diversified Strategies Fund Class  X,25.6609,-0.2326,-0.045,-0.0117,-0.1008,33.437,25.6609
CLGO002A.CF,GWL Agg Portfolio 75/75 (Ps1),22.1754,-0.0747,0.0427,0.0397,-0.0569,24.1835,20.2769
GWL3005.CF,GWL Agg Portfolio 75/75 (Ps1),21.4713,-0.1099,0.0284,-0.0444,-0.0712,24.1835,20.3117
RBF460.CF,RBC Select Balanced Portfolio Series A - NL,29.9762,-0.0992,0.0529,0.0367,-0.0871,33.4822,27.4879
RBF517.CF,RBC Select Balanced Portfolio Series A U$ - NL,22.2847,-0.1532,0.065,0.0094,-0.1321,26.3168,19.8256
RBF516.CF,RBC Select Conservative Portfolio Series A U$ -,16.6448,-0.1431,0.0532,-0.0001,-0.1218,19.4255,15.041
RBF461.CF,RBC Select Conservative Portfolio Series A - NL,22.3898,-0.0885,0.0413,0.027,-0.0763,24.6469,20.8597
PHN9071.CF,RBC Bond Fund Series O - NL,6.165,-0.1068,0.0303,0.0104,-0.088,6.9127,5.7982
RBF137.CF,RBC Bond Fund Series O - NL,6.165,-0.1068,0.0303,0.0104,-0.088,6.9127,5.7982
TDB2003.CF,TD Canadian Core Plus Bond Fund - Premium Ser -,9.45,-0.1158,0.0269,0.0039,-0.1003,10.7168,8.9637
TDB694.CF,TD Canadian Core Plus Bond Fund - Investor Ser -,10.32,-0.1177,0.0264,0.0033,-0.1029,11.726,9.7951
TDB695.CF,TD Canadian Core Plus Bond Fund Advisor - ISC,10.5006,-0.1179,0.0262,0.003,-0.1026,11.9318,9.9651
TDB696.CF,TD Canadian Core Plus Bond Fund Advisor - DSC,10.5006,-0.1179,0.0262,0.003,-0.1026,11.9318,9.9651
TDB697.CF,TD Canadian Core Plus Bond Fund Advisor - Lsc,10.5006,-0.1179,0.0262,0.003,-0.1026,11.9318,9.9651
TDB698.CF,TD Canadian Core Plus Bond Fund Advisor - Lsc2,10.5006,-0.1179,0.0262,0.003,-0.1026,11.9318,9.9651
TDB699.CF,TD Canadian Core Plus Bond Fund  F Series - NL,10.56,-0.1122,0.0261,0.0049,-0.0959,11.9145,10.0123
TDB2923.CF,TD Canadian Core Plus Bond Fd-Premium F NL,9.33,-0.1114,0.0269,0.0045,-0.0958,10.5191,8.8466
TDB3040.CF,TD Canadian Core Plus Bond Fund - D Series - NL,8.64,-0.114,0.0271,0.0045,-0.098,9.771,8.1934
RBF5517.CF,RBC Select Balanced Portfolio Series F U$ - NL,23.6453,-0.1456,0.0659,0.0119,-0.1235,27.6754,21.0108
RBF658.CF,RBC Select Balanced Portfolio Series F - NL,31.8065,-0.0911,0.0538,0.0392,-0.078,35.2079,29.1296
TDB3474.CF,TD Fixed Income Pool F Series - NL,9.33,-0.114,0.0298,-0.0001,-0.1009,10.5533,8.83
TDB3610.CF,TD Fixed Income Pool - Advisor Series,8.7796,-0.1196,0.0288,-0.0022,-0.1072,9.9973,8.3153
TDB2041.CF,TD Fixed Income Pool Investor Series,9.27,,0.0289,-0.0028,,9.9633,8.78
TDB2297.CF,TD Fixed Income Pool - D Series,9.82,,0.0294,-0.001,,9.9997,9.3
RBF209.CF,RBC Select Very Conservative Portfolio Series A-,12.3711,-0.0925,0.0343,0.0144,-0.083,13.6454,11.643
RBF515.CF,RBC Select Very Conservative Portfolio Ser A U$-,9.1968,-0.1469,0.0462,-0.0123,-0.1283,10.7803,8.4184
PHN9079.CF,RBC Global Corporate Bond Fund Series O,8.4325,-0.1313,0.0424,-0.0057,-0.1251,9.732,7.9061
RBF194.CF,RBC Global Corporate Bond Fund Series O - NL,8.4325,-0.1313,0.0424,-0.0057,-0.1251,9.732,7.9061
FID933.CF,Fidelity Canadian Bond Fund Series O,12.5737,-0.1267,-0.0104,-0.0409,-0.106,14.4148,12.302
BNS385.CF,Scotia Canadian Dividend Fund Series A - NL,87.663,0.0184,0.0441,0.0349,0.0531,90.9679,77.7526
TDB3483.CF,TD Dividend Growth Fund - Ft5 Series - NL,17.24,0.0507,0.0493,0.0498,0.0713,17.7833,15.2598
TDB2926.CF,TD Dividend Growth Fund- Premium Series NL,17.43,0.0401,0.0475,0.0466,0.0593,18.1137,15.46
TDB2927.CF,TD Dividend Growth Fund - Premium F Ser NL,17.6,0.0516,0.0495,0.05,0.0722,18.149,15.58
TDB3088.CF,TD Dividend Growth Fund - D Series - NL,16.2,0.0494,0.0492,0.0495,0.0698,16.7158,14.34
TDB972.CF,TD Dividend Growth Fund - Investor Series - NL,112.73,0.0399,0.048,0.0466,0.0592,117.1775,99.96
TDB121.CF,TD Dividend Growth Fund - Advisor Series - Lsc2,40.9386,0.0399,0.0479,0.0465,0.0592,42.5542,36.3025
TDB756.CF,TD Dividend Growth Fund - Advisor Series - ISC,40.9386,0.0399,0.0479,0.0465,0.0592,42.5542,36.3025
TDB776.CF,TD Dividend Growth Fund - Advisor Series - DSC,40.9386,0.0399,0.0479,0.0465,0.0592,42.5542,36.3025
TDB796.CF,TD Dividend Growth Fund - Advisor Series - Lsc,40.9386,0.0399,0.0479,0.0465,0.0592,42.5542,36.3025
TDB856.CF,TD Dividend Growth Fund - F Series - NL,42.76,0.051,0.0491,0.0495,0.0714,44.1031,37.86
TDB298.CF,TD Dividend Growth Fund H8 Series - NL,10.48,0.0393,0.0482,0.0461,0.0588,10.8921,9.2881
TDB097.CF,TD Dividend Growth Fund T8 Series - FE,10.3634,0.0395,0.048,0.0464,0.0586,10.7765,9.1898
TDB098.CF,TD Dividend Growth Fund T8 Series - DSC,10.3634,0.0395,0.048,0.0464,0.0586,10.7765,9.1898
TDB099.CF,TD Dividend Growth Fund T8 Series - Lsc,10.3634,0.0395,0.048,0.0464,0.0586,10.7765,9.1898
TDB100.CF,TD Dividend Growth Fund T8 Series - Lsc2,10.3634,0.0395,0.048,0.0464,0.0586,10.7765,9.1898
TDB299.CF,TD Dividend Growth Fund Ft8 Series - NL,11.69,0.0504,0.049,0.0494,0.0711,12.0636,10.3546
RBF459.CF,RBC Select Growth Portfolio Series A - NL,34.1874,-0.0983,0.0586,0.0449,-0.0862,38.2262,31.0541
RBF518.CF,RBC Select Growth Portfolio Series A U$ - NL,25.4153,-0.1524,0.0708,0.0174,-0.1313,29.991,22.4212
RBF5516.CF,RBC Select Conservative Portfolio Series F U$ -,17.0027,-0.1358,0.0541,0.0023,-0.1134,19.6797,15.3465
RBF657.CF,RBC Select Conservative Portfolio Series F - NL,22.8712,-0.0806,0.0421,0.0294,-0.0674,24.9598,21.2867
PHN9072.CF,RBC Global Bond Fund Series O - NL,9.7198,-0.1171,0.0206,-0.0186,-0.1208,11.1307,9.3378
RBF193.CF,RBC Global Bond Fund Series O - NL,9.7198,-0.1171,0.0206,-0.0186,-0.1208,11.1307,9.3378
PHN716.CF,PH&N Core Plus Bond Fund Series O - NL,8.9023,-0.0991,0.0285,0.0101,-0.0815,9.8971,8.4016
RBF8716.CF,PH&N Core Plus Bond Fund Series O - NL,8.9023,-0.0991,0.0285,0.0101,-0.0815,9.8971,8.4016
TDB3481.CF,TD Tactical Monthly Income Fund - Ft5 Series - N,15.28,-0.0613,0.0311,0.0301,-0.039,16.3447,14.1455
TDB2580.CF,TD Tactical Monthly Income Fund - Investor Ser -,13.18,-0.0716,0.0296,0.0273,-0.0509,14.2553,12.2149
TDB2581.CF,TD Tactical Monthly Income Fund Adv-ISc,13.1949,-0.0718,0.0298,0.0271,-0.0505,14.2679,12.2339
TDB2582.CF,TD Tactical Monthly Income Fund Adv-DSC,13.1949,-0.0718,0.0298,0.0271,-0.0505,14.2679,12.2339
TDB2583.CF,TD Tactical Monthly Income Fund Adv - Lsc,13.1949,-0.0718,0.0298,0.0271,-0.0505,14.2679,12.2339
TDB2584.CF,TD Tactical Monthly Income Fund Adv- Lsc2,13.1949,-0.0718,0.0298,0.0271,-0.0505,14.2679,12.2339
TDB2585.CF,TD Tactical Monthly Income Fund F Series - NL,14.36,-0.0611,0.0312,0.0303,-0.0386,15.3528,13.2893
TDB2586.CF,TD Tactical Monthly Income Fund H8 Series - NL,13.58,-0.0719,0.0295,0.0269,-0.0511,14.6872,12.5901
TDB2587.CF,TD Tactical Monthly Income Fund T8 Series - ISC,13.5706,-0.0718,0.0298,0.0272,-0.0505,14.674,12.582
TDB2588.CF,TD Tactical Monthly Income Fund T8 Series - DSC,13.5706,-0.0718,0.0298,0.0272,-0.0505,14.674,12.582
TDB2589.CF,TD Tactical Monthly Income Fund T8 Series - Lsc,13.5706,-0.0718,0.0298,0.0272,-0.0505,14.674,12.582
TDB2590.CF,TD Tactical Monthly Income Fund T8 Series - Lsc2,13.5706,-0.0718,0.0298,0.0272,-0.0505,14.674,12.582
TDB2591.CF,TD Tactical Monthly Income Fund Ft8 Series - NL,15.37,-0.0622,0.0305,0.0299,-0.0391,16.4443,14.2362
TDB2559.CF,TD Tactical Monthly Income Fund Series K,13.51,-0.0715,0.03,0.0275,-0.0499,14.5976,12.5239
TDB3043.CF,TD Tactical Monthly Income Fund - D Series - NL,11.66,-0.0626,0.0308,0.0309,-0.0404,12.4869,10.7943
TDB2593.CF,TD Tactical Monthly Income Fund -Premium NL,12.31,-0.0716,0.0296,0.0275,-0.0501,13.3076,11.41
TDB2594.CF,TD Tactical Monthly Income Fund-Prem F NL,13.4,-0.0603,0.0315,0.0308,-0.0377,14.3075,12.4047
TDB2443.CF,TD Comfort Balanced Portfolio F - NL,11.02,-0.0809,0.0445,0.0338,-0.0596,12.04,10.2
TDB3539.CF,TD Comfort Balanced Portfolio D Series - NL,11.44,-0.0826,0.0447,0.0334,-0.0616,12.52,10.58
TDB886.CF,TD Comfort Balanced Portfolio Inv - NL,17.48,-0.0891,0.0436,0.0313,-0.0688,19.27,16.19
RBF266.CF,RBC Canadian Dividend Fund Series A - NL,94.4868,0.0215,0.0446,0.0413,0.045,98.8906,84.483
RBF405.CF,RBC Canadian Dividend Fund Series A U$ - NL,70.2425,-0.0398,0.0567,0.0139,-0.0067,79.1832,61.1354
CIG15194.CF,CI Global Income & Growth Fund Class Ef,11.1685,-0.0926,0.0468,0.0273,-0.0797,12.4403,10.3896
CIG90167.CF,CI Global Income & Growth Fund Class P,10.2601,-0.0853,0.0476,0.0295,-0.0715,11.337,9.5068
CIG90944.CF,CI Global Income & Growth Fund Series Pp,9.53,,0.0477,0.0297,,9.7802,8.8275
CIG4944.CF,CI Global Income & Growth Fund Series Y,9.4748,,0.0467,0.027,,9.7879,8.8174
CIG1944.CF,CI Global Income & Growth Fund Series Z,9.4138,,0.0457,0.0242,,9.7956,8.8056
CIG2944.CF,CI Global Income & Growth Fund Series Z,9.4138,,0.0457,0.0242,,9.7956,8.8056
CIG3944.CF,CI Global Income & Growth Fund Series Z,9.4138,,0.0457,0.0242,,9.7956,8.8056
CIG1111.CF,CI Global Income & Growth Fund Class A,9.6661,-0.1038,0.0455,0.0238,-0.0922,10.9016,9.0477
CIG2111.CF,CI Global Income & Growth Fund Class A,9.6661,-0.1038,0.0455,0.0238,-0.0922,10.9016,9.0477
CIG3111.CF,CI Global Income & Growth Fund Class A,9.6661,-0.1038,0.0455,0.0238,-0.0922,10.9016,9.0477
CIG4111.CF,CI Global Income & Growth Fund Class F,9.8005,-0.0946,0.0466,0.0266,-0.0819,10.9409,9.1271
CIG5111.CF,CI Global Income & Growth Fund Class I,10.064,-0.0833,0.0479,0.0301,-0.0693,11.0958,9.3151
CIG16194.CF,CI Global Income & Growth Fund Class E,14.4583,-0.1017,0.0458,0.0244,-0.0898,16.2684,13.518
CIG18194.CF,CI Global Income & Growth Fund Class O,15.0194,-0.0849,0.0477,0.0297,-0.071,16.5869,13.9121
PHN115.CF,PH&N Bond Fund Series O - NL,9.2374,-0.0975,0.027,0.0106,-0.0806,10.2557,8.7266
RBF8115.CF,PH&N Bond Fund Series O - NL,9.2374,-0.0975,0.027,0.0106,-0.0806,10.2557,8.7266
TDB162.CF,TD Canadian Bond Fund - Investor Series - NL,12.31,-0.1157,0.0267,0.0042,-0.1006,13.9496,11.65
TDB107.CF,TD Canadian Bond Fund - Advisor Series - Lsc2,10.7418,-0.1162,0.0267,0.0041,-0.1012,12.1787,10.1684
TDB306.CF,TD Canadian Bond Fund - Advisor Series - FE,10.7418,-0.1162,0.0267,0.0041,-0.1012,12.1787,10.1684
TDB336.CF,TD Canadian Bond Fund - Advisor Series - DSC,10.7418,-0.1162,0.0267,0.0041,-0.1012,12.1787,10.1684
TDB366.CF,TD Canadian Bond Fund - Advisor Series - LL,10.7418,-0.1162,0.0267,0.0041,-0.1012,12.1787,10.1684
TDB406.CF,TD Canadian Bond Fund Series F - NL,10.99,-0.112,0.0271,0.0053,-0.0968,12.3955,10.4
TDB2921.CF,TD Canadian Bond Fund - Premium F Ser NL,9.36,-0.1112,0.0274,0.0063,-0.0954,10.5409,8.85
TDB3081.CF,TD Canadian Bond Fund - D Series - NL,8.99,-0.1135,0.0274,0.0048,-0.0982,10.1612,8.51
TDB2002.CF,TD Canadian Bond Fund - Premium Series - NL,9.02,-0.1154,0.0262,0.0039,-0.1001,10.217,8.54
PHN385.CF,PH&N U.S. Multi-Style All-Cap Equity Fund O - NL,20.8171,-0.0675,0.034,0.0626,-0.042,22.7065,17.8502
RBF8385.CF,PH&N U.S. Multi-Style All-Cap Equity Fund O - NL,20.8171,-0.0675,0.034,0.0626,-0.042,22.7065,17.8502
PHN345.CF,PH&N Total Return Bond Fund Series O,10.2565,-0.0978,0.0273,0.0104,-0.0808,11.3903,9.6877
RBF8345.CF,PH&N Total Return Bond Fund Series O,10.2565,-0.0978,0.0273,0.0104,-0.0808,11.3903,9.6877
FID2204.CF,Fidelity Global Balanced Portfolio Series B - Is,14.6017,-0.0904,0.0405,0.0369,-0.0909,16.1734,13.5997
TDB977.CF,TD U.S. Blue Chip Equity Fund - Investor Ser - N,55.66,-0.3008,0.0162,-0.0337,-0.3133,82.21,49.93
TDB123.CF,TD U.S. Blue Chip Equity Fund - Lsc2,24.9087,-0.3008,0.0161,-0.0337,-0.3133,36.7953,22.353
TDB310.CF,TD U.S. Blue Chip Equity Fund - FE,24.9087,-0.3008,0.0161,-0.0337,-0.3133,36.7953,22.353
TDB340.CF,TD U.S. Blue Chip Equity Fund - DSC,24.9087,-0.3008,0.0161,-0.0337,-0.3133,36.7953,22.353
TDB370.CF,TD U.S. Blue Chip Equity Fund - LL,24.9087,-0.3008,0.0161,-0.0337,-0.3133,36.7953,22.353
TDB410.CF,TD U.S. Blue Chip Equity Fund Series F - NL,34.15,-0.2922,0.0179,-0.0301,-0.3041,49.78,30.6
TDB3549.CF,TD U.S. Blue Chip Equity Fund H8 Series - NL,13.41,-0.3004,0.0164,-0.033,-0.3127,19.7967,12.0281
TDB3554.CF,TD U.S. Blue Chip Equity Fund Ft5 Series - NL,15.89,-0.2927,0.0174,-0.0307,-0.3043,23.1772,14.2472
TDB3555.CF,TD U.S. Blue Chip Equity Fund Ft8 Series - NL,14.04,-0.293,0.0171,-0.0309,-0.3048,20.491,12.5935
TDB3550.CF,TD U.S. Blue Chip Equity Fund T8 Series - ISC,13.3835,-0.3002,0.0167,-0.0332,-0.3128,19.7542,12.0046
TDB3091.CF,TD U.S. Blue Chip Equity Fund - D,19.4,-0.2951,0.0173,-0.0315,-0.3074,28.41,17.4
RBF8417.CF,RBC Global Equity Focus Fund Series O U$ - NL,17.746,-0.2061,0.0759,0.0209,-0.191,22.4165,15.54
PHN8077.CF,RBC Global Equity Focus Fund Series O,23.871,-0.1555,0.0636,0.0485,-0.149,28.6819,20.8154
PHN9077.CF,RBC Global Equity Focus Fund Series O,23.871,-0.1555,0.0636,0.0485,-0.149,28.6819,20.8154
RBF8077.CF,RBC Global Equity Focus Fund Series O - NL,23.871,-0.1555,0.0636,0.0485,-0.149,28.6819,20.8154
IGI156.CF,Iprofile Fixed Income Private Pool Series I - NL,10.9285,-0.0732,0.0198,-0.0003,-0.0657,11.8071,10.5574
TDB3477.CF,TD Monthly Income Fund - Ft5 Series - NL,15.03,-0.031,0.0361,0.0165,-0.0115,15.9095,13.8723
TDB622.CF,TD Monthly Income Fund - Investor Series - NL,24.55,-0.036,0.0356,0.015,-0.0172,26.1017,22.6684
TDB452.CF,TD Monthly Income Fund - F Series - NL,16.73,-0.0301,0.0367,0.0169,-0.0106,17.6922,15.4301
TDB398.CF,TD Monthly Income Fund - H8 Series - NL,11.2,-0.0358,0.0356,0.0154,-0.0176,11.9073,10.3421
TDB297.CF,TD Monthly Income Fund - T8 Series  - Lsc2,11.1755,-0.0356,0.036,0.0152,-0.0174,11.8795,10.3133
TDB395.CF,TD Monthly Income Fund - T8 Series - ISC,11.1755,-0.0356,0.036,0.0152,-0.0174,11.8795,10.3133
TDB396.CF,TD Monthly Income Fund - T8 Series - DSC,11.1755,-0.0356,0.036,0.0152,-0.0174,11.8795,10.3133
TDB397.CF,TD Monthly Income Fund - T8 Series - Lsc,11.1755,-0.0356,0.036,0.0152,-0.0174,11.8795,10.3133
TDB399.CF,TD Monthly Income Fund - Ft8 Series - NL,11.97,-0.03,0.0368,0.017,-0.0106,12.655,11.0424
TDB113.CF,TD Monthly Income Fund - Advisor Series - Lsc2,23.1688,-0.0357,0.0357,0.015,-0.0171,24.6288,21.3878
TDB821.CF,TD Monthly Income Fund - Advisor Series - ISC,23.1688,-0.0357,0.0357,0.015,-0.0171,24.6288,21.3878
TDB831.CF,TD Monthly Income Fund - Advisor Series - DSC,23.1688,-0.0357,0.0357,0.015,-0.0171,24.6288,21.3878
TDB841.CF,TD Monthly Income Fund - Advisor Series - Lsc,23.1688,-0.0357,0.0357,0.015,-0.0171,24.6288,21.3878
TDB3085.CF,TD Monthly Income Fund - D Series - NL,12.72,-0.0314,0.0366,0.0169,-0.0126,13.4674,11.7323
TDB2444.CF,TD Comfort Balanced Growth Portfolio F - NL,11.21,-0.0781,0.0496,0.0428,-0.0545,12.22,10.26
TDB3540.CF,TD Comfort Balanced Growth Portfolio D Series -,11.74,-0.0792,0.0501,0.0436,-0.0562,12.82,10.74
TDB887.CF,TD Comfort Balanced Growth Portfolio Inv - NL,18.86,-0.0858,0.0489,0.0408,-0.0633,20.74,17.29
PHN255.CF,PH&N Short Term Bond & Mortgage Series O - NL,9.5359,-0.031,0.0092,0.0099,-0.0281,9.8483,9.3244
RBF8255.CF,PH&N Short Term Bond & Mortgage Series O - NL,9.5359,-0.031,0.0092,0.0099,-0.0281,9.8483,9.3244
