Symbol,Name,Last,Change,% Change,Assets Under Management,Time
MXM813.CF,Maxam Diversified Strategies Fund Class  X,25.6609,-0.8991,-0.033851657,"67,409,502 M",9/30/2022
CLGO002A.CF,GWL Agg Portfolio 75/75 (Ps1),22.1754,0.1252,0.005677953,"113,191 M",11/29/2022
GWL3005.CF,GWL Agg Portfolio 75/75 (Ps1),21.4713,0.1389,0.006511222,"113,191 M",7/28/2022
RBF460.CF,RBC Select Balanced Portfolio Series A - NL,29.9762,0.3205,0.010807366,"30,208 M",11/30/2022
RBF517.CF,RBC Select Balanced Portfolio Series A U$ - NL,22.2847,0.4549,0.020838487,"30,208 M",11/30/2022
RBF516.CF,RBC Select Conservative Portfolio Series A U$ -,16.6448,0.2835,0.017327474,"24,231 M",11/30/2022
RBF461.CF,RBC Select Conservative Portfolio Series A - NL,22.3898,0.163,0.007333489,"24,231 M",11/30/2022
PHN9071.CF,RBC Bond Fund Series O - NL,6.165,0.0173,0.002814061,"20,056 M",11/30/2022
RBF137.CF,RBC Bond Fund Series O - NL,6.165,0.0173,0.002814061,"20,056 M",11/30/2022
TDB2003.CF,TD Canadian Core Plus Bond Fund - Premium Ser -,9.45,0,0,"15,541 M",11/30/2022
TDB694.CF,TD Canadian Core Plus Bond Fund - Investor Ser -,10.32,0,0,"15,541 M",11/30/2022
TDB695.CF,TD Canadian Core Plus Bond Fund Advisor - ISC,10.5006,0.0008,7.62E-05,"15,541 M",11/30/2022
TDB696.CF,TD Canadian Core Plus Bond Fund Advisor - DSC,10.5006,0.0008,7.62E-05,"15,541 M",11/30/2022
TDB697.CF,TD Canadian Core Plus Bond Fund Advisor - Lsc,10.5006,0.0008,7.62E-05,"15,541 M",11/30/2022
TDB698.CF,TD Canadian Core Plus Bond Fund Advisor - Lsc2,10.5006,0.0008,7.62E-05,"15,541 M",11/30/2022
TDB699.CF,TD Canadian Core Plus Bond Fund  F Series - NL,10.56,-0.01,-0.000946074,"15,541 M",11/30/2022
TDB2923.CF,TD Canadian Core Plus Bond Fd-Premium F NL,9.33,-0.01,-0.001070664,"15,541 M",11/30/2022
