Symbol,Name,Last,"YTD %Change","1-Month %Change","3-Month %Change","52-Week %Change","52-Week High","52-Week Low"
CLGO002A.CF,"GWL Agg Portfolio 75/75 (Ps1)",20.9357,-0.1264,0.0012,0.0163,-0.0807,24.1835,20.2769
GWL3005.CF,"GWL Agg Portfolio 75/75 (Ps1)",21.4713,-0.1099,0.0284,-0.0444,-0.0712,24.1835,20.3117
RBF460.CF,"RBC Select Balanced Portfolio Series A - NL",27.8255,-0.1638,-0.0285,-0.0231,-0.1307,33.4822,27.6161
RBF517.CF,"RBC Select Balanced Portfolio Series A U$ - NL",20.2551,-0.2303,-0.0726,-0.0772,-0.2062,26.5896,20.0416
RBF516.CF,"RBC Select Conservative Portfolio Series A U$ -",15.3369,-0.2105,-0.07,-0.0746,-0.1939,19.6386,15.2413
RBF461.CF,"RBC Select Conservative Portfolio Series A - NL",21.069,-0.1423,-0.0258,-0.0203,-0.1173,24.6469,20.9802
PHN9071.CF,"RBC Bond Fund Series O - NL",5.9534,-0.1375,-0.0186,-0.0091,-0.1222,6.9127,5.8491
RBF137.CF,"RBC Bond Fund Series O - NL",5.9534,-0.1375,-0.0186,-0.0091,-0.1222,6.9127,5.8491
RBF658.CF,"RBC Select Balanced Portfolio Series F - NL",29.4833,-0.1575,-0.0277,-0.0207,-0.1221,35.2079,29.2539
RBF5517.CF,"RBC Select Balanced Portfolio Series F U$ - NL",21.4619,-0.2245,-0.0718,-0.0749,-0.1983,27.9209,21.2319
TDB2923.CF,"TD Canadian Core Plus Bond Fd-Premium F NL",9.12,-0.1356,-0.0159,-0.0104,-0.1236,10.5707,8.9952
TDB3040.CF,"TD Canadian Core Plus Bond Fund - D Series - NL",8.44,-0.1383,-0.0164,-0.0111,-0.1268,9.8147,8.3261
TDB2003.CF,"TD Canadian Core Plus Bond Fund - Premium Ser -",9.23,-0.1398,-0.0172,-0.0126,-0.1291,10.7602,9.1288
TDB694.CF,"TD Canadian Core Plus Bond Fund - Investor Ser -",10.08,-0.1413,-0.0178,-0.0126,-0.1308,11.7678,9.9703
TDB695.CF,"TD Canadian Core Plus Bond Fund Advisor - ISC",10.2571,-0.1414,-0.0176,-0.0129,-0.1308,11.9745,10.1449
TDB696.CF,"TD Canadian Core Plus Bond Fund Advisor - DSC",10.2571,-0.1414,-0.0176,-0.0129,-0.1308,11.9745,10.1449
TDB697.CF,"TD Canadian Core Plus Bond Fund Advisor - Lsc",10.2571,-0.1414,-0.0176,-0.0129,-0.1308,11.9745,10.1449
TDB698.CF,"TD Canadian Core Plus Bond Fund Advisor - Lsc2",10.2571,-0.1414,-0.0176,-0.0129,-0.1308,11.9745,10.1449
TDB699.CF,"TD Canadian Core Plus Bond Fund  F Series - NL",10.32,-0.1365,-0.0167,-0.0114,-0.124,11.9713,10.1784
PHN9079.CF,"RBC Global Corporate Bond Fund Series O",8.0804,-0.1676,-0.0382,-0.039,-0.1639,9.7672,8.0526
RBF194.CF,"RBC Global Corporate Bond Fund Series O - NL",8.0804,-0.1676,-0.0382,-0.039,-0.1639,9.7672,8.0526
RBF515.CF,"RBC Select Very Conservative Portfolio Ser A U$-",8.5885,-0.2033,-0.0698,-0.0772,-0.1942,10.9286,8.5601
RBF209.CF,"RBC Select Very Conservative Portfolio Series A-",11.7984,-0.1345,-0.0255,-0.023,-0.1176,13.6454,11.7679
TDB3474.CF,"TD Fixed Income Pool F Series - NL",9.07,-0.1387,-0.0207,-0.0165,-0.126,10.5533,9.0278
TDB3610.CF,"TD Fixed Income Pool - Advisor Series",8.5399,-0.1436,-0.0212,-0.0187,-0.1317,9.9973,8.5188
TDB2041.CF,"TD Fixed Income Pool Investor Series",9.02,,-0.0213,-0.0181,,9.9633,8.9906
TDB2297.CF,"TD Fixed Income Pool - D Series",9.54,,-0.0215,,,9.9997,9.54
TDB162.CF,"TD Canadian Bond Fund - Investor Series - NL",11.95,-0.1415,-0.0196,-0.0148,-0.1319,13.9496,11.8249
TDB107.CF,"TD Canadian Bond Fund - Advisor Series - Lsc2",10.4331,-0.1416,-0.0192,-0.0141,-0.1318,12.1787,10.3215
TDB306.CF,"TD Canadian Bond Fund - Advisor Series - FE",10.4331,-0.1416,-0.0192,-0.0141,-0.1318,12.1787,10.3215
TDB336.CF,"TD Canadian Bond Fund - Advisor Series - DSC",10.4331,-0.1416,-0.0192,-0.0141,-0.1318,12.1787,10.3215
TDB366.CF,"TD Canadian Bond Fund - Advisor Series - LL",10.4331,-0.1416,-0.0192,-0.0141,-0.1318,12.1787,10.3215
TDB406.CF,"TD Canadian Bond Fund Series F - NL",10.66,-0.1386,-0.0195,-0.0132,-0.1281,12.3955,10.5333
TDB3081.CF,"TD Canadian Bond Fund - D Series - NL",8.73,-0.1392,-0.0188,-0.0122,-0.1286,10.1612,8.6211
TDB2921.CF,"TD Canadian Bond Fund - Premium F Ser NL",9.08,-0.1378,-0.0186,-0.0122,-0.1266,10.5409,8.968
TDB2002.CF,"TD Canadian Bond Fund - Premium Series - NL",8.76,-0.1409,-0.0196,-0.0142,-0.1311,10.217,8.6629
FID933.CF,"Fidelity Canadian Bond Fund Series O",12.8509,-0.1126,-0.0255,-0.0102,-0.1124,14.5395,12.374
BNS385.CF,"Scotia Canadian Dividend Fund Series A - NL",79.2784,-0.079,-0.0573,-0.043,-0.016,90.9679,78.9845
PHN9072.CF,"RBC Global Bond Fund Series O - NL",9.4897,-0.138,-0.035,-0.045,-0.1371,11.1307,9.4471
RBF193.CF,"RBC Global Bond Fund Series O - NL",9.4897,-0.138,-0.035,-0.045,-0.1371,11.1307,9.4471
RBF459.CF,"RBC Select Growth Portfolio Series A - NL",31.4634,-0.1702,-0.0286,-0.0234,-0.1311,38.2262,31.1479
RBF518.CF,"RBC Select Growth Portfolio Series A U$ - NL",22.9033,-0.2362,-0.0727,-0.0775,-0.2065,30.3016,22.5987
TDB3088.CF,"TD Dividend Growth Fund - D Series - NL",14.68,-0.0491,-0.034,-0.0257,0.0052,16.7158,14.4618
TDB2926.CF,"TD Dividend Growth Fund- Premium Series NL",15.83,-0.0554,-0.0344,-0.0285,-0.0039,18.1137,15.6375
TDB2927.CF,"TD Dividend Growth Fund - Premium F Ser NL",15.95,-0.047,-0.0335,-0.0253,0.0077,18.149,15.7089
TDB3483.CF,"TD Dividend Growth Fund - Ft5 Series - NL",15.76,-0.0476,-0.034,-0.0257,0.0069,17.935,15.5248
