,Symbol,Name,Last,YTD %Change,1-Month %Change,3-Month %Change,52-Week %Change,52-Week High,52-Week Low,Change,% Change,Assets Under Management,Time,risk,Size,Percentile,Volatility
160,TDB408.CF,TD Canadian Equity Fund - F - NL,22.87,0.0588,0.0414,0.0573,0.0896,23.83,20.17,0.11,0.00483304,"6,276 M",11/30/2022,Medium,small,10%,0.18145761
154,TDB3089.CF,TD Canadian Equity Fund - D - NL,16.45,0.0572,0.0418,0.0572,0.0868,17.15,14.51,0.08,0.004886988,"6,276 M",11/30/2022,Medium,small,10%,0.181943487
32,TDB2927.CF,TD Dividend Growth Fund - Premium F Ser NL,17.6,0.0516,0.0495,0.05,0.0722,18.149,15.58,0.1,0.005714286,"9,417 M",11/30/2022,Medium,medium,10%,0.164890886
39,TDB856.CF,TD Dividend Growth Fund - F Series - NL,42.76,0.051,0.0491,0.0495,0.0714,44.1031,37.86,0.23,0.005407947,"9,417 M",11/30/2022,Medium,medium,10%,0.16489963
30,TDB3483.CF,TD Dividend Growth Fund - Ft5 Series - NL,17.24,0.0507,0.0493,0.0498,0.0713,17.7833,15.2598,0.02,0.00116144,"9,417 M",11/30/2022,Medium,medium,10%,0.16536914
45,TDB299.CF,TD Dividend Growth Fund Ft8 Series - NL,11.69,0.0504,0.049,0.0494,0.0711,12.0636,10.3546,-0.02,-0.001707942,"9,417 M",11/30/2022,Medium,medium,10%,0.165047419
33,TDB3088.CF,TD Dividend Growth Fund - D Series - NL,16.2,0.0494,0.0492,0.0495,0.0698,16.7158,14.34,0.09,0.005586592,"9,417 M",11/30/2022,Medium,medium,10%,0.16567643
153,TDB2928.CF,TD Canadian Equity Fund - Premium Series,16.27,0.049,0.0409,0.0544,0.0781,17.06,14.4,0.08,0.004941322,"6,276 M",11/30/2022,Medium to High,small,10%,0.184722222
155,TDB161.CF,TD Canadian Equity Fund - Inv - NL,49.96,0.0476,0.0404,0.054,0.0764,52.43,44.25,0.25,0.005029169,"6,276 M",11/30/2022,Medium,small,10%,0.184858757
156,TDB117.CF,TD Canadian Equity Fund - Advisor Series - Lsc2,20.8255,0.0474,0.0403,0.0539,0.0762,21.8607,18.4485,0.1023,0.004936496,"6,276 M",11/30/2022,Medium,small,10%,0.184958127
157,TDB308.CF,TD Canadian Equity Fund - Advisor Series - FE,20.8255,0.0474,0.0403,0.0539,0.0762,21.8607,18.4485,0.1023,0.004936496,"6,276 M",11/30/2022,Medium,small,10%,0.184958127
159,TDB368.CF,TD Canadian Equity Fund - Advisor Series - LL,20.8255,0.0474,0.0403,0.0539,0.0762,21.8607,18.4485,0.1023,0.004936496,"6,276 M",11/30/2022,Medium,small,10%,0.184958127
158,TDB338.CF,TD Canadian Equity Fund - Advisor Series - DSC,20.8255,0.0474,0.0403,0.0539,0.0762,21.8607,18.4485,0.1023,0.004936496,"6,276 M",11/30/2022,Medium,small,10%,0.184958127
31,TDB2926.CF,TD Dividend Growth Fund- Premium Series NL,17.43,0.0401,0.0475,0.0466,0.0593,18.1137,15.46,0.09,0.005190311,"9,417 M",11/30/2022,Medium,medium,10%,0.171649418
37,TDB776.CF,TD Dividend Growth Fund - Advisor Series - DSC,40.9386,0.0399,0.0479,0.0465,0.0592,42.5542,36.3025,0.2176,0.00534368,"9,417 M",11/30/2022,Medium,medium,10%,0.17221128
35,TDB121.CF,TD Dividend Growth Fund - Advisor Series - Lsc2,40.9386,0.0399,0.0479,0.0465,0.0592,42.5542,36.3025,0.2176,0.00534368,"9,417 M",11/30/2022,Medium,medium,10%,0.17221128
34,TDB972.CF,TD Dividend Growth Fund - Investor Series - NL,112.73,0.0399,0.048,0.0466,0.0592,117.1775,99.96,0.6,0.005350932,"9,417 M",11/30/2022,Medium,medium,10%,0.172243898
38,TDB796.CF,TD Dividend Growth Fund - Advisor Series - Lsc,40.9386,0.0399,0.0479,0.0465,0.0592,42.5542,36.3025,0.2176,0.00534368,"9,417 M",11/30/2022,Medium,medium,10%,0.17221128
36,TDB756.CF,TD Dividend Growth Fund - Advisor Series - ISC,40.9386,0.0399,0.0479,0.0465,0.0592,42.5542,36.3025,0.2176,0.00534368,"9,417 M",11/30/2022,Medium,medium,10%,0.17221128
41,TDB097.CF,TD Dividend Growth Fund T8 Series - FE,10.3634,0.0395,0.048,0.0464,0.0586,10.7765,9.1898,-0.0162,-0.001560754,"9,417 M",11/30/2022,Medium,medium,10%,0.172658817
42,TDB098.CF,TD Dividend Growth Fund T8 Series - DSC,10.3634,0.0395,0.048,0.0464,0.0586,10.7765,9.1898,-0.0162,-0.001560754,"9,417 M",11/30/2022,Medium,medium,15%,0.172658817
43,TDB099.CF,TD Dividend Growth Fund T8 Series - Lsc,10.3634,0.0395,0.048,0.0464,0.0586,10.7765,9.1898,-0.0162,-0.001560754,"9,417 M",11/30/2022,Medium,medium,15%,0.172658817
44,TDB100.CF,TD Dividend Growth Fund T8 Series - Lsc2,10.3634,0.0395,0.048,0.0464,0.0586,10.7765,9.1898,-0.0162,-0.001560754,"9,417 M",11/30/2022,Medium,medium,15%,0.172658817
40,TDB298.CF,TD Dividend Growth Fund H8 Series - NL,10.48,0.0393,0.0482,0.0461,0.0588,10.8921,9.2881,-0.02,-0.001904762,"9,417 M",11/30/2022,Medium,medium,15%,0.172694092
192,PHN9060.CF,RBC Canadian Dividend Fund Series O - NL,96.537,0.0378,0.0462,0.0459,0.0635,99.9661,86.1234,0.5151,0.005364401,"6,149 M",11/30/2022,Medium,small,15%,0.160730998
193,RBF167.CF,RBC Canadian Dividend Fund Series O - NL,96.537,0.0378,0.0462,0.0459,0.0635,99.9661,86.1234,0.5151,0.005364401,"6,149 M",11/30/2022,Medium,small,15%,0.160730998
74,RBF266.CF,RBC Canadian Dividend Fund Series A - NL,94.4868,0.0215,0.0446,0.0413,0.045,98.8906,84.483,0.5004,0.005324175,"8,672 M",11/30/2022,Medium,medium,15%,0.170538452
29,BNS385.CF,Scotia Canadian Dividend Fund Series A - NL,87.663,0.0184,0.0441,0.0349,0.0531,90.9679,77.7526,0.8744,0.010075056,"10,350 M",11/30/2022,Medium,large,15%,0.16996602
152,BTG770.CF,Beutel Goodman Canadian Equity Fund Class D - FE,45.0218,0.0105,0.0448,0.0441,0.0328,47.0342,40.0697,0.3131,0.007003111,"6,295 M",11/30/2022,Medium,small,15%,0.173809637
191,RBF8407.CF,RBC Canadian Dividend Fund Series O U$ - NL,71.7667,-0.0245,0.0583,0.0183,0.0109,79.987,62.3225,1.0844,0.015341889,"6,149 M",11/30/2022,Medium,small,15%,0.283436961
130,TDB399.CF,TD Monthly Income Fund - Ft8 Series - NL,11.97,-0.03,0.0368,0.017,-0.0106,12.655,11.0424,-0.04,-0.003330558,"7,550 M",11/30/2022,Low to Medium,medium,30%,0.146037093
124,TDB452.CF,TD Monthly Income Fund - F Series - NL,16.73,-0.0301,0.0367,0.0169,-0.0106,17.6922,15.4301,0.04,0.002396645,"7,550 M",11/30/2022,Low to Medium,medium,30%,0.146603068
122,TDB3477.CF,TD Monthly Income Fund - Ft5 Series - NL,15.03,-0.031,0.0361,0.0165,-0.0115,15.9095,13.8723,-0.01,-0.000664894,"7,550 M",11/30/2022,Low to Medium,medium,30%,0.146853802
139,PHN255.CF,PH&N Short Term Bond & Mortgage Series O - NL,9.5359,-0.031,0.0092,0.0099,-0.0281,9.8483,9.3244,0.0168,0.001764873,"7,181 M",11/30/2022,Low,small,30%,0.056185921
140,RBF8255.CF,PH&N Short Term Bond & Mortgage Series O - NL,9.5359,-0.031,0.0092,0.0099,-0.0281,9.8483,9.3244,0.0168,0.001764873,"7,181 M",11/30/2022,Low,small,30%,0.056185921
135,TDB3085.CF,TD Monthly Income Fund - D Series - NL,12.72,-0.0314,0.0366,0.0169,-0.0126,13.4674,11.7323,0.04,0.003154574,"7,550 M",11/30/2022,Low to Medium,medium,30%,0.147890865
126,TDB297.CF,TD Monthly Income Fund - T8 Series  - Lsc2,11.1755,-0.0356,0.036,0.0152,-0.0174,11.8795,10.3133,-0.0354,-0.003157641,"7,550 M",11/30/2022,Low to Medium,medium,30%,0.151862159
127,TDB395.CF,TD Monthly Income Fund - T8 Series - ISC,11.1755,-0.0356,0.036,0.0152,-0.0174,11.8795,10.3133,-0.0354,-0.003157641,"7,550 M",11/30/2022,Low to Medium,medium,30%,0.151862159
128,TDB396.CF,TD Monthly Income Fund - T8 Series - DSC,11.1755,-0.0356,0.036,0.0152,-0.0174,11.8795,10.3133,-0.0354,-0.003157641,"7,550 M",11/30/2022,Low to Medium,medium,30%,0.151862159
129,TDB397.CF,TD Monthly Income Fund - T8 Series - Lsc,11.1755,-0.0356,0.036,0.0152,-0.0174,11.8795,10.3133,-0.0354,-0.003157641,"7,550 M",11/30/2022,Low to Medium,medium,30%,0.151862159
134,TDB841.CF,TD Monthly Income Fund - Advisor Series - Lsc,23.1688,-0.0357,0.0357,0.015,-0.0171,24.6288,21.3878,0.0683,0.002956646,"7,550 M",11/30/2022,Low to Medium,medium,30%,0.151534987
131,TDB113.CF,TD Monthly Income Fund - Advisor Series - Lsc2,23.1688,-0.0357,0.0357,0.015,-0.0171,24.6288,21.3878,0.0683,0.002956646,"7,550 M",11/30/2022,Low to Medium,medium,30%,0.151534987
132,TDB821.CF,TD Monthly Income Fund - Advisor Series - ISC,23.1688,-0.0357,0.0357,0.015,-0.0171,24.6288,21.3878,0.0683,0.002956646,"7,550 M",11/30/2022,Low to Medium,medium,30%,0.151534987
133,TDB831.CF,TD Monthly Income Fund - Advisor Series - DSC,23.1688,-0.0357,0.0357,0.015,-0.0171,24.6288,21.3878,0.0683,0.002956646,"7,550 M",11/30/2022,Low to Medium,medium,30%,0.151534987
125,TDB398.CF,TD Monthly Income Fund - H8 Series - NL,11.2,-0.0358,0.0356,0.0154,-0.0176,11.9073,10.3421,-0.03,-0.002671416,"7,550 M",11/30/2022,Low to Medium,medium,30%,0.151342571
123,TDB622.CF,TD Monthly Income Fund - Investor Series - NL,24.55,-0.036,0.0356,0.015,-0.0172,26.1017,22.6684,0.07,0.002859477,"7,550 M",11/30/2022,Low to Medium,medium,30%,0.151457536
75,RBF405.CF,RBC Canadian Dividend Fund Series A U$ - NL,70.2425,-0.0398,0.0567,0.0139,-0.0067,79.1832,61.1354,1.0585,0.01529978,"8,672 M",11/30/2022,Medium,medium,30%,0.295210304
184,TDB3415.CF,TD U.S. Dividend Growth Fund - F Series - NL,18.77,-0.0561,0.037,0.0778,-0.0265,20.1751,16.1002,0.34,0.018448182,"6,226 M",11/30/2022,Low to Medium,small,30%,0.253096235
177,TDB3491.CF,TD U.S. Dividend Growth Fund - Ft5 Series - NL,19.24,-0.0564,0.0371,0.0775,-0.0268,20.685,16.503,0.25,0.013164824,"6,226 M",11/30/2022,Low to Medium,small,30%,0.253408471
186,TDB3421.CF,TD U.S. Dividend Growth Fund - Ft8 Series - NL,19.38,-0.0565,0.0367,0.0771,-0.0274,20.8445,16.6326,0.2,0.010427529,"6,226 M",11/30/2022,Low to Medium,small,30%,0.253231605
183,TDB3423.CF,TD U.S. Dividend Growth Fund - D Series - NL,18.61,-0.0597,0.0362,0.0767,-0.0304,20.0816,15.9894,0.33,0.018052516,"6,226 M",11/30/2022,Low to Medium,small,30%,0.255932055
70,TDB2594.CF,TD Tactical Monthly Income Fund-Prem F NL,13.4,-0.0603,0.0315,0.0308,-0.0377,14.3075,12.4047,0.05,0.003745318,"8,915 M",11/30/2022,Low to Medium,medium,30%,0.153393472
60,TDB2585.CF,TD Tactical Monthly Income Fund F Series - NL,14.36,-0.0611,0.0312,0.0303,-0.0386,15.3528,13.2893,0.05,0.00349406,"8,915 M",11/30/2022,Low to Medium,medium,30%,0.155275297
54,TDB3481.CF,TD Tactical Monthly Income Fund - Ft5 Series - N,15.28,-0.0613,0.0311,0.0301,-0.039,16.3447,14.1455,0.03,0.001967213,"8,915 M",11/30/2022,Low to Medium,medium,30%,0.155469937
66,TDB2591.CF,TD Tactical Monthly Income Fund Ft8 Series - NL,15.37,-0.0622,0.0305,0.0299,-0.0391,16.4443,14.2362,-0.02,-0.001299545,"8,915 M",11/30/2022,Low to Medium,medium,30%,0.155104593
68,TDB3043.CF,TD Tactical Monthly Income Fund - D Series - NL,11.66,-0.0626,0.0308,0.0309,-0.0404,12.4869,10.7943,0.05,0.004306632,"8,915 M",11/30/2022,Low to Medium,medium,30%,0.15680498
179,TDB3411.CF,TD U.S. Dividend Growth Fund - Advisor Ser - ISC,18.159,-0.0667,0.0357,0.0742,-0.0385,19.7447,15.6634,0.3211,0.018000998,"6,226 M",11/30/2022,Low to Medium,small,30%,0.260562841
180,TDB3412.CF,TD U.S. Dividend Growth Fund - Advisor Ser - DSC,18.159,-0.0667,0.0357,0.0742,-0.0385,19.7447,15.6634,0.3211,0.018000998,"6,226 M",11/30/2022,Low to Medium,small,30%,0.260562841
182,TDB3414.CF,TD U.S. Dividend Growth Fund - Advisor Ser - Lsc,18.159,-0.0667,0.0357,0.0742,-0.0385,19.7447,15.6634,0.3211,0.018000998,"6,226 M",11/30/2022,Low to Medium,small,30%,0.260562841
181,TDB3413.CF,TD U.S. Dividend Growth Fund - Advisor Ser - Lsc,18.159,-0.0667,0.0357,0.0742,-0.0385,19.7447,15.6634,0.3211,0.018000998,"6,226 M",11/30/2022,Low to Medium,small,30%,0.260562841
178,TDB3410.CF,TD U.S. Dividend Growth Fund - Investor Series -,18.13,-0.0669,0.0354,0.0741,-0.0392,19.72,15.64,0.32,0.017967434,"6,226 M",11/30/2022,Low to Medium,small,None,0.260869565
189,TDB3419.CF,TD U.S. Dividend Growth Fund - T8 Series - Lsc,18.1237,-0.0674,0.0357,0.074,-0.0395,19.7221,15.6361,0.1817,0.010127076,"6,226 M",11/30/2022,Low to Medium,small,None,0.261318359
190,TDB3420.CF,TD U.S. Dividend Growth Fund - T8 Series - Lsc2,18.1237,-0.0674,0.0357,0.074,-0.0395,19.7221,15.6361,0.1817,0.010127076,"6,226 M",11/30/2022,Low to Medium,small,None,0.261318359
187,TDB3417.CF,TD U.S. Dividend Growth Fund - T8 Series - ISC,18.1237,-0.0674,0.0357,0.074,-0.0395,19.7221,15.6361,0.1817,0.010127076,"6,226 M",11/30/2022,Low to Medium,small,None,0.261318359
188,TDB3418.CF,TD U.S. Dividend Growth Fund - T8 Series - DSC,18.1237,-0.0674,0.0357,0.074,-0.0395,19.7221,15.6361,0.1817,0.010127076,"6,226 M",11/30/2022,Low to Medium,small,None,0.261318359
185,TDB3416.CF,TD U.S. Dividend Growth Fund - H8 Series - NL,18.15,-0.0675,0.036,0.0739,-0.0394,19.7487,15.6535,0.18,0.010016694,"6,226 M",11/30/2022,Low to Medium,small,None,0.261615613
102,RBF8385.CF,PH&N U.S. Multi-Style All-Cap Equity Fund O - NL,20.8171,-0.0675,0.034,0.0626,-0.042,22.7065,17.8502,0.3912,0.019152155,"8,179 M",11/30/2022,Medium,medium,None,0.272058576
101,PHN385.CF,PH&N U.S. Multi-Style All-Cap Equity Fund O - NL,20.8171,-0.0675,0.034,0.0626,-0.042,22.7065,17.8502,0.3912,0.019152155,"8,179 M",11/30/2022,Medium,medium,None,0.272058576
67,TDB2559.CF,TD Tactical Monthly Income Fund Series K,13.51,-0.0715,0.03,0.0275,-0.0499,14.5976,12.5239,0.01,0.000740741,"8,915 M",11/30/2022,Low to Medium,medium,None,0.165579412
69,TDB2593.CF,TD Tactical Monthly Income Fund -Premium NL,12.31,-0.0716,0.0296,0.0275,-0.0501,13.3076,11.41,0.04,0.003259984,"8,915 M",11/30/2022,Low to Medium,medium,None,0.166310254
55,TDB2580.CF,TD Tactical Monthly Income Fund - Investor Ser -,13.18,-0.0716,0.0296,0.0273,-0.0509,14.2553,12.2149,0.05,0.003808073,"8,915 M",11/30/2022,Low to Medium,medium,None,0.167041891
57,TDB2582.CF,TD Tactical Monthly Income Fund Adv-DSC,13.1949,-0.0718,0.0298,0.0271,-0.0505,14.2679,12.2339,0.047,0.003574715,"8,915 M",11/30/2022,Low to Medium,medium,None,0.166259329
59,TDB2584.CF,TD Tactical Monthly Income Fund Adv- Lsc2,13.1949,-0.0718,0.0298,0.0271,-0.0505,14.2679,12.2339,0.047,0.003574715,"8,915 M",11/30/2022,Low to Medium,medium,None,0.166259329
65,TDB2590.CF,TD Tactical Monthly Income Fund T8 Series - Lsc2,13.5706,-0.0718,0.0298,0.0272,-0.0505,14.674,12.582,-0.0162,-0.001192334,"8,915 M",11/30/2022,Low to Medium,medium,None,0.166269274
62,TDB2587.CF,TD Tactical Monthly Income Fund T8 Series - ISC,13.5706,-0.0718,0.0298,0.0272,-0.0505,14.674,12.582,-0.0162,-0.001192334,"8,915 M",11/30/2022,Low to Medium,medium,None,0.166269274
63,TDB2588.CF,TD Tactical Monthly Income Fund T8 Series - DSC,13.5706,-0.0718,0.0298,0.0272,-0.0505,14.674,12.582,-0.0162,-0.001192334,"8,915 M",11/30/2022,Low to Medium,medium,None,0.166269274
56,TDB2581.CF,TD Tactical Monthly Income Fund Adv-ISc,13.1949,-0.0718,0.0298,0.0271,-0.0505,14.2679,12.2339,0.047,0.003574715,"8,915 M",11/30/2022,Low to Medium,medium,None,0.166259329
64,TDB2589.CF,TD Tactical Monthly Income Fund T8 Series - Lsc,13.5706,-0.0718,0.0298,0.0272,-0.0505,14.674,12.582,-0.0162,-0.001192334,"8,915 M",11/30/2022,Low to Medium,medium,None,0.166269274
58,TDB2583.CF,TD Tactical Monthly Income Fund Adv - Lsc,13.1949,-0.0718,0.0298,0.0271,-0.0505,14.2679,12.2339,0.047,0.003574715,"8,915 M",11/30/2022,Low to Medium,medium,None,0.166259329
61,TDB2586.CF,TD Tactical Monthly Income Fund H8 Series - NL,13.58,-0.0719,0.0295,0.0269,-0.0511,14.6872,12.5901,-0.02,-0.001470588,"8,915 M",11/30/2022,Low to Medium,medium,None,0.166567382
121,IGI156.CF,Iprofile Fixed Income Private Pool Series I - NL,10.9285,-0.0732,0.0198,-0.0003,-0.0657,11.8071,10.5574,0.0003,2.75E-05,"7,575 M",11/30/2022,Low,medium,None,0.118371948
1,CLGO002A.CF,GWL Agg Portfolio 75/75 (Ps1),22.1754,-0.0747,0.0427,0.0397,-0.0569,24.1835,20.2769,0.1252,0.005677953,"113,191 M",11/29/2022,None,large,None,0.192662586
136,TDB2444.CF,TD Comfort Balanced Growth Portfolio F - NL,11.21,-0.0781,0.0496,0.0428,-0.0545,12.22,10.26,0.1,0.0090009,"7,339 M",11/30/2022,Low to Medium,small,None,0.191033138
137,TDB3540.CF,TD Comfort Balanced Growth Portfolio D Series -,11.74,-0.0792,0.0501,0.0436,-0.0562,12.82,10.74,0.12,0.010327022,"7,339 M",11/30/2022,Low to Medium,small,None,0.193668529
49,RBF657.CF,RBC Select Conservative Portfolio Series F - NL,22.8712,-0.0806,0.0421,0.0294,-0.0674,24.9598,21.2867,0.1669,0.00735103,"9,192 M",11/30/2022,Low,medium,None,0.172553754
