Symbol,Name,Last,YTD %Change,1-Month %Change,3-Month %Change,52-Week %Change,52-Week High,52-Week Low
ENB-T,Enbridge Inc,55.47,0.1226,0.1159,-0.0193,0.0542,59.69,46.88
RY-T,Royal Bank of Canada,131.68,-0.0191,0.1152,0.0377,-0.0116,149.6,116.75
SU-T,Suncor Energy Inc,48.77,0.5409,0.1295,0.1992,0.5025,53.62,28.77
SHOP-T,Shopify Inc,52.34,-0.6995,0.4798,0.0132,-0.7212,222.87,33
TD-T,Toronto-Dominion Bank,88.44,-0.0881,0.0941,0.0364,-0.047,109.08,77.27
BMO-T,Bank of Montreal,132.83,-0.0247,0.1565,0.0193,-0.0518,154.47,113.73
CNQ-T,Canadian Natural Resources Ltd.,82.14,0.5368,0.1274,0.1519,0.5634,88.18,48.42
AQN-T,Algonquin Power and Utilities Corp,12.34,-0.3246,-0.1542,-0.3319,-0.3056,20.19,12.27
BNS-T,Bank of Nova Scotia,68.68,-0.2331,0.0721,-0.1384,-0.1693,95,63.19
BAM-A-T,Brookfield Asset Management Inc Cl A Lv,62.06,-0.1876,0.1585,-0.0927,-0.1638,79.04,51.07
CM-T,Canadian Imperial Bank of Commerce,64.75,-0.1217,0.1556,-0.0284,-0.1341,83.75,55.35
TRP-T,Tc Energy Corp,64.02,0.0882,0.1587,-0.0114,0.0269,74.44,54.6
CP-T,Canadian Pacific Railway Ltd,101.82,0.1191,0.087,-0.0118,0.0519,106.93,86.12
CNR-T,Canadian National Railway Co.,161.97,0.0424,0.0873,-0.0015,-0.0089,171.48,137.26
FM-T,First Quantum Minerals Ltd,33.56,0.1087,0.433,0.3732,0.1918,45.38,18.67
CVE-T,Cenovus Energy Inc,28.69,0.8498,0.2136,0.2105,0.7853,31.19,13.86
NTR-T,Nutrien Ltd,101.76,0.0703,-0.1064,-0.1199,0.1834,147.93,84.37
TOU-T,Tourmaline Oil Corp,80.04,0.9598,0.0322,0.0467,0.7591,84.33,38.1
FTS-T,Fortis Inc,53.46,-0.124,0.0637,-0.1065,-0.056,65.26,48.45
VET-T,Vermilion Energy Inc,28.25,0.7767,-0.0188,-0.1562,1.1848,39.21,11.15
IFC-T,Intact Financial Corp,193.74,0.1783,0.0046,0.0153,0.139,209.57,158
AEM-T,Agnico Eagle Mines Ltd,64.6,-0.0385,0.128,0.1264,-0.0989,84.66,48.88
ATD-T,Alimentation Couche-Tard Inc.,62.9,0.1868,0.1178,0.0769,0.2475,63.48,45.23
MFC-T,Manulife Fin,23.53,-0.0241,0.1068,-0.0151,-0.0614,28.09,20.81
TECK-B-T,Teck Resources Ltd Cl B,46.43,0.2745,0.0559,0.0963,0.2926,57.5,32.05
SLF-T,Sun Life Financial Inc,61.47,-0.127,0.131,0.0062,-0.1315,74.22,52.97
EMA-T,Emera Incorporated,51.96,-0.1781,-0.0213,-0.1493,-0.1172,65.23,48.63
MG-T,Magna International Inc,83.23,-0.1868,0.2783,0.007,-0.2167,113,63.55
NA-T,National Bank of Canada,96.76,0.0033,0.1641,0.0441,-0.0791,106.1,82.16
AC-T,Air Canada,18.5,-0.1245,0.0973,-0.0107,-0.2835,25.98,15.57
LSPD-T,Lightspeed Commerce Inc.,23.52,-0.5395,-0.0192,-0.2202,-0.7205,89.79,18.84
ABX-T,Barrick Gold Corp,21.81,-0.0931,0.0516,0.0411,-0.1608,33.5,17.88
BCE-T,BCE Inc,62.53,-0.0498,0.093,-0.0274,-0.0242,74.09,55.66
CPG-T,Crescent Point Energy Corp,11.29,0.6726,0.1773,0.1591,0.9299,13.74,5.22
WCN-T,Waste Connections Inc,180.69,0.0481,0.0114,0.0177,0.0596,195.33,148.05
DOL-T,Dollarama Inc,77.34,0.2216,-0.0416,-0.0182,0.3171,83.95,54.28
FNV-T,Franco-Nevada Corp,187.78,0.0734,0.158,0.125,0.0045,216.32,151.08
CTC-A-T,Canadian Tire Corp Cl A NV,156.79,-0.1359,0.0801,-0.0425,-0.1312,196.75,143.3
STN-T,Stantec Inc,65.72,-0.0753,0.0472,0.0561,-0.0648,73.1,53.12
TFII-T,Tfi International Inc,137.44,-0.0312,0.0491,0.0031,-0.0214,145.89,93.63
MEG-T,Meg Energy Corp,20.53,0.7547,0.1368,0.1758,0.838,24.47,10
CSU-T,Constellation Software Inc,1995.68,-0.1497,0.0796,-0.0551,-0.0744,2385.8,1783.98
POW-T,Power Corp of Canada Sv,33.43,-0.2002,0.0957,-0.0495,-0.2153,43.45,29.76
TRI-T,Thomson Reuters Corp,145.73,-0.0366,0.0474,-0.0116,-0.03,156.62,119.23
CCO-T,Cameco Corp,32.42,0.1755,-0.0898,0.0006,-0.0654,41.05,23.03
L-T,Loblaw CO,109.78,0.0592,0.0224,-0.0712,0.1153,124.77,90.46
RCI-B-T,Rogers Communications Inc Cl B NV,57.5,-0.0453,0.1126,-0.0206,-0.0555,80.85,50.53
PPL-T,Pembina Pipeline Corp,46.5,0.2119,0.0996,-0.0308,0.1173,53.58,37.02
FRU-T,Freehold Royalties Ltd,17.13,0.4704,0.0869,0.2046,0.3207,17.78,10.03
NPI-T,Northland Power Inc,39.74,0.0472,0.0395,-0.0987,0.0187,47.13,34.95
QSR-T,Restaurant Brands International Inc,80.56,0.0503,0.1115,0.0453,0.1233,82.7,60.37
EFN-T,Element Fleet Management Corp,18.34,0.4239,0.1169,0.0975,0.3926,18.71,10.99
ARX-T,Arc Resources Ltd,18.83,0.6374,0.0479,0.0386,0.4909,22.88,10.2
OVV-T,Ovintiv Inc,76.27,0.7921,0.0548,0.168,0.6505,79.28,38.24
IMO-T,Imperial Oil,76.72,0.6817,0.2263,0.3054,0.7976,79.83,41.04
TRQ-T,Turquoise Hill Resources Ltd,41.87,1.013,0.0323,0.2765,1.8025,42.84,14.76
T-T,Telus Corp,29.02,-0.0258,0.078,-0.0272,0.0021,34.65,26.3
WCP-T,Whitecap Resources Inc,11.47,0.5314,0.1973,0.2333,0.5821,12.71,6.36
WPM-T,Wheaton Precious Metals Corp,50.38,-0.0718,0.151,0.1719,-0.0822,65.45,39.05
BBD-B-T,Bombardier Inc Cl B Sv,42.92,0.0219,0.5204,0.3145,-0.1105,48.75,18.3
WEED-T,Canopy Growth Corp,5.61,-0.4918,0.7104,0.399,-0.6698,19.98,2.79
GIB-A-T,CGI Group Inc Cl A Sv,113.3,0.013,0.0977,0.0359,0.01,114.11,95.45
NVEI-T,Nuvei Corp,44.99,-0.4513,0.2094,-0.0241,-0.663,142.77,34.47
SMU-UN-T,Summit Industrial Income REIT,22,-0.0638,0.2995,0.1323,-0.0464,23.6,16.06
BTE-T,Baytex Energy Corp,7.42,0.8977,0.1175,0.1558,0.7418,9.16,3.21
SJR-B-T,Shaw Communications Inc Cl B NV,35.98,-0.0628,0.0715,0.0402,-0.0233,39.49,32.96
H-T,Hydro One Ltd,33.96,0.0319,0.053,-0.0415,0.1193,36.44,30.16
IVN-T,Ivanhoe Mines Ltd,11.24,0.0891,0.2802,0.2773,0.0977,13.15,6.41
YRI-T,Yamana Gold Inc,6.8,0.2782,0.0413,0.0608,0.2057,8.05,4.78
WSP-T,WSP Global Inc,160.49,-0.126,0.0787,0.0338,-0.1446,187.6,130.65
LAC-T,Lithium Americas Corp,37.57,0.0204,0.1957,0.0027,-0.1285,53.09,24.65
ERF-T,Enerplus Corp,24.88,0.8651,0.1686,0.3723,0.9392,25.72,11.11
GWO-T,Great-West Lifeco Inc,31.16,-0.1791,0.0734,-0.0308,-0.1902,41.5,27.99
K-T,Kinross Gold Corp,5.7,-0.2234,0.1332,0.2667,-0.3326,8.94,3.92
GFL-T,Gfl Environmental Inc,37.5,-0.216,0.1131,0.0168,-0.2311,53.36,31.57
IAG-T,IA Financial Corp Inc,73.38,0.0138,0.048,0.0152,-0.0269,85.25,58.7
CCL-B-T,Ccl Industries Inc Cl B NV,58.98,-0.1305,-0.0703,-0.0792,-0.1332,69.38,53.36
CAE-T,Cae Inc,28.84,-0.0962,0.2864,0.0822,-0.2309,37.76,20.9
