Symbol,Name,Last,YTD %Change,1-Month %Change,3-Month %Change,52-Week %Change,52-Week High,52-Week Low
CNQ-T,Canadian Natural Resources Ltd.,80.69,0.5152,-0.0134,0.1207,0.5659,88.18,48.42
TRP-T,Tc Energy Corp,58.19,-0.008,-0.0331,-0.0753,-0.0095,74.44,54.6
SU-T,Suncor Energy Inc,43,0.3649,-0.0742,0.0335,0.3967,53.62,28.77
SHOP-T,Shopify Inc,57.96,-0.6666,0.2632,0.4686,-0.6868,194.5,33
TD-T,Toronto-Dominion Bank,92.36,-0.0477,0.0609,0.0797,-0.043,109.08,77.27
CM-T,Canadian Imperial Bank of Commerce,59.39,-0.1906,-0.0285,-0.0324,-0.1307,83.75,55.35
BMO-T,Bank of Montreal,134.38,-0.0127,0.0769,0.1041,-0.0026,154.47,113.73
RY-T,Royal Bank of Canada,134.21,0.0004,0.0682,0.0915,0.0481,149.6,116.75
BNS-T,Bank of Nova Scotia,68.94,-0.2294,0.0529,-0.0336,-0.1848,95,63.19
NTR-T,Nutrien Ltd,107,0.1215,-0.0633,-0.1174,0.2353,147.93,85.28
T-T,Telus Corp,28.6,-0.0369,0.0141,-0.0343,-0.0258,34.65,26.3
CNR-T,Canadian National Railway Co.,172.04,0.109,0.0834,0.1207,0.043,174.48,137.26
ENB-T,Enbridge Inc,54.69,0.1095,0.0338,0.0094,0.1452,59.69,46.88
CVE-T,Cenovus Energy Inc,26.84,0.7369,-0.032,0.0837,0.7392,31.19,13.86
ABX-T,Barrick Gold Corp,22.86,-0.0474,0.1689,0.1701,-0.0155,33.5,17.88
RCI-B-T,Rogers Communications Inc Cl B NV,62.24,0.0389,0.0962,0.1183,0.0701,80.85,50.53
CP-T,Canadian Pacific Railway Ltd,110.87,0.2199,0.1012,0.1405,0.2422,111.43,86.12
BCE-T,BCE Inc,63.65,-0.0324,0.0314,0.0017,-0.0284,74.09,55.66
BAM-A-T,Brookfield Asset Management Inc Cl A Lv,60.75,-0.2029,0.1452,-0.0261,-0.1683,79.04,51.07
FNV-T,Franco-Nevada Corp,195.88,0.1227,0.2032,0.2296,0.175,216.32,151.08
MFC-T,Manulife Fin,24.41,0.0133,0.0872,0.0824,0.044,28.09,20.81
TOU-T,Tourmaline Oil Corp,79.3,0.9547,0.0156,0.0262,0.9804,84.33,38.1
ATD-T,Alimentation Couche-Tard Inc.,61.38,0.1589,0.0002,0.033,0.2874,63.48,45.23
IFC-T,Intact Financial Corp,204.68,0.2476,-0.0041,0.072,0.2625,209.57,158.75
TECK-B-T,Teck Resources Ltd Cl B,50.79,0.3961,0.2205,0.1814,0.4959,57.5,32.32
AEM-T,Agnico Eagle Mines Ltd,69.71,0.04,0.2067,0.2789,0.1407,84.66,48.88
ARX-T,Arc Resources Ltd,19.82,0.7313,0.0289,0.094,0.8469,22.88,10.2
SLF-T,Sun Life Financial Inc,63.54,-0.0977,0.1126,0.1001,-0.0757,74.22,52.97
L-T,Loblaw CO,122.28,0.183,0.0941,0.045,0.2538,124.77,90.46
MEG-T,Meg Energy Corp,19.52,0.6675,-0.0161,0.0912,0.8423,24.47,10.03
CSU-T,Constellation Software Inc,2147.73,-0.0775,0.1116,0.1011,-0.0032,2385.8,1783.98
WEED-T,Canopy Growth Corp,5.76,-0.4837,0.2838,0.2527,-0.5708,14.17,2.79
IMO-T,Imperial Oil,75.35,0.6548,0.0098,0.1746,0.7223,79.83,41.04
TRI-T,Thomson Reuters Corp,158.68,0.0533,0.1372,0.1104,0.0306,159.4,119.23
