,Symbol,Name,Last,YTD %Change,1-Month %Change,3-Month %Change,52-Week %Change,52-Week High,52-Week Low,Change,% Change,Price Volume,Time,Rating,Percentile,Volatility
55,TRQ-T,Turquoise Hill Resources Ltd,41.87,1.013,0.0323,0.2765,1.8025,42.84,14.76,0.37,0.0089,"40,701",11/11/22,3.00,10%,1.9024390243902443
17,TOU-T,Tourmaline Oil Corp,80.04,0.9598,0.0322,0.0467,0.7591,84.33,38.1,2.41,0.031,"135,297",11/11/22,4.67,10%,1.2133858267716535
64,BTE-T,Baytex Energy Corp,7.42,0.8977,0.1175,0.1558,0.7418,9.16,3.21,0.19,0.0263,"31,957",11/11/22,3.11,10%,1.8535825545171338
71,ERF-T,Enerplus Corp,24.88,0.8651,0.1686,0.3723,0.9392,25.72,11.11,0.92,0.0384,"27,813",11/11/22,4.50,10%,1.315031503150315
15,CVE-T,Cenovus Energy Inc,28.69,0.8498,0.2136,0.2105,0.7853,31.19,13.86,0.88,0.0316,"151,407",11/11/22,4.77,10%,1.2503607503607506
53,OVV-T,Ovintiv Inc,76.27,0.7921,0.0548,0.168,0.6505,79.28,38.24,4.61,0.0643,"45,111",11/11/22,4.85,10%,1.0732217573221758
19,VET-T,Vermilion Energy Inc,28.25,0.7767,-0.0188,-0.1562,1.1848,39.21,11.15,1.0,0.0367,"115,281",11/11/22,3.80,10%,2.516591928251121
40,MEG-T,Meg Energy Corp,20.53,0.7547,0.1368,0.1758,0.838,24.47,10.0,0.46,0.0229,"60,462",11/11/22,3.60,10%,1.447
54,IMO-T,Imperial Oil,76.72,0.6817,0.2263,0.3054,0.7976,79.83,41.04,0.8,0.0105,"44,296",11/11/22,3.75,10%,0.9451754385964912
33,CPG-T,Crescent Point Energy Corp,11.29,0.6726,0.1773,0.1591,0.9299,13.74,5.22,0.53,0.0493,"66,472",11/11/22,4.64,10%,1.632183908045977
52,ARX-T,Arc Resources Ltd,18.83,0.6374,0.0479,0.0386,0.4909,22.88,10.2,0.15,0.008,"45,268",11/11/22,4.56,10%,1.2431372549019608
84,PEY-T,Peyto Exploration and Dvlpmnt Corp,14.72,0.5577,0.2528,0.088,0.3443,17.13,8.44,0.49,0.0344,"23,070",11/11/22,4.50,15%,1.0296208530805688
2,SU-T,Suncor Energy Inc,48.77,0.5409,0.1295,0.1992,0.5025,53.62,28.77,1.07,0.0224,"334,251",11/11/22,3.92,15%,0.8637469586374695
6,CNQ-T,Canadian Natural Resources Ltd.,82.14,0.5368,0.1274,0.1519,0.5634,88.18,48.42,0.93,0.0115,"209,376",11/11/22,4.06,15%,0.8211482858323007
57,WCP-T,Whitecap Resources Inc,11.47,0.5314,0.1973,0.2333,0.5821,12.71,6.36,0.4,0.0361,"37,261",11/11/22,4.70,15%,0.9984276729559749
48,FRU-T,Freehold Royalties Ltd,17.13,0.4704,0.0869,0.2046,0.3207,17.78,10.03,0.58,0.035,"50,270",11/11/22,4.40,15%,0.7726819541375876
51,EFN-T,Element Fleet Management Corp,18.34,0.4239,0.1169,0.0975,0.3926,18.71,10.99,0.4,0.0223,"46,321",11/11/22,4.71,30%,0.7024567788898999
